variant,fold_id,test_season,transformed_feature,coefficient
single__coaching_context__opening_coach_tenure_seasons_diff,test_2023,2023,opening_coach_tenure_seasons_diff,-0.005440099338894575
single__coaching_context__opening_coach_tenure_seasons_diff,test_2023,2023,opening_coach_tenure_seasons_diff__missing,0.00037747235606312214
single__coaching_context__opening_first_year_coach_diff,test_2023,2023,opening_first_year_coach_diff,-0.0035047811235660964
single__coaching_context__opening_first_year_coach_diff,test_2023,2023,opening_first_year_coach_diff__missing,0.0003775042417410494
single__team_form_efficiency__form_defense_explosiveness_diff,test_2023,2023,form_defense_explosiveness_diff,0.012296464147432861
single__team_form_efficiency__form_defense_explosiveness_diff,test_2023,2023,form_defense_explosiveness_diff__missing,0.001812377358177522
single__team_form_efficiency__form_defense_ppa_diff,test_2023,2023,form_defense_ppa_diff,0.0014685833558435307
single__team_form_efficiency__form_defense_ppa_diff,test_2023,2023,form_defense_ppa_diff__missing,0.0018144697106752756
single__team_form_efficiency__form_defense_successRate_diff,test_2023,2023,form_defense_successRate_diff,0.003006630160976193
single__team_form_efficiency__form_defense_successRate_diff,test_2023,2023,form_defense_successRate_diff__missing,0.001813777323475057
single__team_form_efficiency__form_offense_explosiveness_diff,test_2023,2023,form_offense_explosiveness_diff,-0.009062601431039558
single__team_form_efficiency__form_offense_explosiveness_diff,test_2023,2023,form_offense_explosiveness_diff__missing,0.0018149328104506866
single__team_form_efficiency__form_offense_ppa_diff,test_2023,2023,form_offense_ppa_diff,-0.015439964869441268
single__team_form_efficiency__form_offense_ppa_diff,test_2023,2023,form_offense_ppa_diff__missing,0.0018124530608092581
single__team_form_efficiency__form_offense_successRate_diff,test_2023,2023,form_offense_successRate_diff,0.008819435196426003
single__team_form_efficiency__form_offense_successRate_diff,test_2023,2023,form_offense_successRate_diff__missing,0.0018142120096882133
combined,test_2024,2024,form_offense_ppa_diff,-0.0056183113932841075
combined,test_2024,2024,form_offense_ppa_diff__missing,0.0033206593459839243
combined,test_2024,2024,form_defense_ppa_diff,-0.000444384863947497
combined,test_2024,2024,form_defense_ppa_diff__missing,0.0033206593459839243
combined,test_2024,2024,form_offense_successRate_diff,0.00885428774657304
combined,test_2024,2024,form_offense_successRate_diff__missing,0.0033206593459839243
combined,test_2024,2024,form_defense_successRate_diff,-0.0003878744709233599
combined,test_2024,2024,form_defense_successRate_diff__missing,0.0033206593459839243
combined,test_2024,2024,form_offense_explosiveness_diff,-0.007876104169408734
combined,test_2024,2024,form_offense_explosiveness_diff__missing,0.0033206593459839243
combined,test_2024,2024,form_defense_explosiveness_diff,0.0007706736061556642
combined,test_2024,2024,form_defense_explosiveness_diff__missing,0.0033206593459839243
combined,test_2024,2024,opening_coach_tenure_seasons_diff,0.0011420230595200348
combined,test_2024,2024,opening_coach_tenure_seasons_diff__missing,0.0010010567595988896
combined,test_2024,2024,opening_first_year_coach_diff,-0.0032873704272129616
combined,test_2024,2024,opening_first_year_coach_diff__missing,0.0010010567595988896
family__coaching_context,test_2024,2024,opening_coach_tenure_seasons_diff,0.0011331104882812443
family__coaching_context,test_2024,2024,opening_coach_tenure_seasons_diff__missing,0.0010485027541119523
family__coaching_context,test_2024,2024,opening_first_year_coach_diff,-0.0033120096687357416
family__coaching_context,test_2024,2024,opening_first_year_coach_diff__missing,0.0010485027541119523
family__team_form_efficiency,test_2024,2024,form_offense_ppa_diff,-0.005627394854069285
family__team_form_efficiency,test_2024,2024,form_offense_ppa_diff__missing,0.0033255740028074196
family__team_form_efficiency,test_2024,2024,form_defense_ppa_diff,-0.0004689438569941794
family__team_form_efficiency,test_2024,2024,form_defense_ppa_diff__missing,0.0033255740028074196
family__team_form_efficiency,test_2024,2024,form_offense_successRate_diff,0.008851651368604945
family__team_form_efficiency,test_2024,2024,form_offense_successRate_diff__missing,0.0033255740028074196
family__team_form_efficiency,test_2024,2024,form_defense_successRate_diff,-0.0003949125774145402
family__team_form_efficiency,test_2024,2024,form_defense_successRate_diff__missing,0.0033255740028074196
family__team_form_efficiency,test_2024,2024,form_offense_explosiveness_diff,-0.00787957038264101
family__team_form_efficiency,test_2024,2024,form_offense_explosiveness_diff__missing,0.0033255740028074196
family__team_form_efficiency,test_2024,2024,form_defense_explosiveness_diff,0.0007503824588035884
family__team_form_efficiency,test_2024,2024,form_defense_explosiveness_diff__missing,0.0033255740028074196
lof__without_coaching_context,test_2024,2024,form_offense_ppa_diff,-0.005627394854069285
lof__without_coaching_context,test_2024,2024,form_offense_ppa_diff__missing,0.0033255740028074196
lof__without_coaching_context,test_2024,2024,form_defense_ppa_diff,-0.0004689438569941794
lof__without_coaching_context,test_2024,2024,form_defense_ppa_diff__missing,0.0033255740028074196
lof__without_coaching_context,test_2024,2024,form_offense_successRate_diff,0.008851651368604945
lof__without_coaching_context,test_2024,2024,form_offense_successRate_diff__missing,0.0033255740028074196
lof__without_coaching_context,test_2024,2024,form_defense_successRate_diff,-0.0003949125774145402
