variant,slice,n,status,delta_log_loss,delta_brier,delta_accuracy
single__away_entering_wins,home_conference__ACC,386,ok,0.00010238206185764209,3.111157127944075e-05,-0.002590673575129543
single__away_entering_wins,home_conference__SEC,372,ok,-2.9643055408645758e-06,1.7101728325530363e-05,0.0026881720430107503
single__away_entering_losses,overall,3195,ok,8.10073321644289e-05,3.1373427497982664e-05,0.000625978090766921
single__away_entering_losses,weeks_1_3,818,ok,0.00011874176859000274,6.525668916315674e-05,0.0012224938875305957
single__away_entering_losses,weeks_4_plus,2377,ok,6.802173309161663e-05,1.9713138039806344e-05,0.00042069835927649457
single__away_entering_losses,neutral_site,261,ok,0.000113352658565824,5.708207368562701e-05,0.0
single__away_entering_losses,non_neutral,2934,ok,7.81299871777108e-05,2.9086462039612515e-05,0.0006816632583502846
single__away_entering_losses,favorite_lt_3,476,ok,-3.74967269548554e-05,-1.8742956327200133e-05,0.004201680672268893
single__away_entering_losses,favorite_3_to_7,1019,ok,0.00014272054739195017,6.746449509723029e-05,0.0
single__away_entering_losses,favorite_gt_7,1700,ok,7.71968414725599e-05,2.377260444927365e-05,0.0
single__away_entering_losses,favorite_missing_spread,0,empty,,,
single__away_entering_losses,verified_espn_pickem,0,empty,,,
single__away_entering_losses,home_conference__Big Ten,413,ok,4.310382968247817e-05,3.783112716285175e-05,0.0
single__away_entering_losses,home_conference__ACC,386,ok,0.00014466299406523664,5.504963239860716e-05,0.0
single__away_entering_losses,home_conference__SEC,372,ok,0.00019931405522710666,8.216892184670366e-05,0.0
single__home_previous_result,overall,3195,ok,-3.4049146749426384e-05,-1.39624330385002e-05,0.0003129890453834605
single__home_previous_result,weeks_1_3,818,ok,-0.0001006262358930754,-1.2898945049744093e-05,0.0
single__home_previous_result,weeks_4_plus,2377,ok,-1.113788931583759e-05,-1.432841249784933e-05,0.00042069835927649457
single__home_previous_result,neutral_site,261,ok,-0.00019241351430221432,-3.952605561330369e-05,0.0
single__home_previous_result,non_neutral,2934,ok,-1.9961518960887048e-05,-1.1688368453610654e-05,0.0003408316291751978
single__home_previous_result,favorite_lt_3,476,ok,-9.33467333380511e-05,-4.664597416653704e-05,0.0021008403361344463
single__home_previous_result,favorite_3_to_7,1019,ok,-4.61673094976911e-05,-1.9462009568482763e-05,0.0
single__home_previous_result,favorite_gt_7,1700,ok,-1.0182053186702511e-05,-1.5145306496988642e-06,0.0
single__home_previous_result,favorite_missing_spread,0,empty,,,
single__home_previous_result,verified_espn_pickem,0,empty,,,
single__home_previous_result,home_conference__Big Ten,413,ok,-3.6617159148599754e-05,7.383401221000563e-06,0.002421307506053294
single__home_previous_result,home_conference__ACC,386,ok,-7.771105984277771e-05,-3.9991995555072046e-05,0.0
single__home_previous_result,home_conference__SEC,372,ok,-7.052649399968969e-05,-4.3927888645767244e-05,0.0
single__away_previous_result,overall,3195,ok,3.5121869672027906e-05,9.593788662221048e-06,0.0009389671361502705
single__away_previous_result,weeks_1_3,818,ok,9.377916745506587e-05,3.845241816188838e-05,0.003667481662591676
single__away_previous_result,weeks_4_plus,2377,ok,1.4936060001691231e-05,-3.3736780843951486e-07,0.0
single__away_previous_result,neutral_site,261,ok,-5.2898241568177795e-06,5.624309137225447e-06,0.0
single__away_previous_result,non_neutral,2934,ok,3.8716774951375044e-05,9.94690187150482e-06,0.0010224948875254825
single__away_previous_result,favorite_lt_3,476,ok,5.206041283112306e-05,2.5296316292777732e-05,0.006302521008403339
single__away_previous_result,favorite_3_to_7,1019,ok,-3.846598464307682e-06,-3.232618599469106e-06,0.0
single__away_previous_result,favorite_gt_7,1700,ok,5.3737235841122555e-05,1.2885380337224195e-05,0.0
single__away_previous_result,favorite_missing_spread,0,empty,,,
single__away_previous_result,verified_espn_pickem,0,empty,,,
single__away_previous_result,home_conference__Big Ten,413,ok,-4.804021609405851e-07,-9.058949694551455e-07,0.002421307506053294
single__away_previous_result,home_conference__ACC,386,ok,3.519633896209573e-05,1.5862000073252336e-05,0.0
single__away_previous_result,home_conference__SEC,372,ok,0.0001393474316992993,4.6336286361803314e-05,0.0
single__home_sos,overall,3195,ok,-0.0002223894274129279,-0.00010031797820844734,0.001877934272300541
single__home_sos,weeks_1_3,818,ok,-0.0008135709791974866,-0.0003000208039310448,0.003667481662591676
single__home_sos,weeks_4_plus,2377,ok,-1.894537635704907e-05,-3.159399358873549e-05,0.0012620950778292617
single__home_sos,neutral_site,261,ok,0.0001576750115253045,6.672398401222357e-05,0.003831417624521105
single__home_sos,non_neutral,2934,ok,-0.0002561988406926119,-0.00011517753926484908,0.001704158145875878
single__home_sos,favorite_lt_3,476,ok,-1.1274050899734434e-05,-3.5183879561473397e-06,0.012605042016806789
single__home_sos,favorite_3_to_7,1019,ok,-0.0007190578138127623,-0.00032564775192267525,0.0
single__home_sos,favorite_gt_7,1700,ok,1.620714112898769e-05,7.643453823757973e-06,0.0
single__home_sos,favorite_missing_spread,0,empty,,,
single__home_sos,verified_espn_pickem,0,empty,,,
single__home_sos,home_conference__Big Ten,413,ok,0.0010816076285396492,0.0004089262671577165,-0.002421307506053294
single__home_sos,home_conference__ACC,386,ok,-0.00015485310818341702,-6.890965076952749e-05,0.0
single__home_sos,home_conference__SEC,372,ok,0.0006755854297519348,0.00017748646690732284,0.0026881720430107503
single__away_sos,overall,3195,ok,3.4273530310491296e-05,1.2553747079091515e-05,0.0003129890453834605
single__away_sos,weeks_1_3,818,ok,0.00023647899976386721,9.099205090468132e-05,0.0012224938875305957
single__away_sos,weeks_4_plus,2377,ok,-3.5311692244355264e-05,-1.4439325083021037e-05,0.0
single__away_sos,neutral_site,261,ok,0.00011921870986242311,4.998648610740619e-05,-0.003831417624520994
