variant,drop_season,mode,retrain,n,status,log_loss,brier,accuracy,delta_log_loss,delta_brier,delta_accuracy
single__away_classification,2023,aggregate_existing_predictions,False,2408,ok,0.5375031621288286,0.18164643971551303,0.720514950166113,-1.584693813616589e-06,-2.622097469984208e-07,0.0
single__away_classification,2024,aggregate_existing_predictions,False,2365,ok,0.5336034407082889,0.17958535169980613,0.7260042283298097,-1.9624281145658173e-06,-5.304276883555392e-07,0.0
single__away_classification,2025,aggregate_existing_predictions,False,2331,ok,0.5419388956191812,0.1830431493892167,0.7142857142857143,-4.4223022876987983e-07,5.315564202690304e-08,0.0
single__home_entering_wins,2022,aggregate_existing_predictions,False,2481,ok,0.5161831239066921,0.17334324206950044,0.7315598548972189,2.913940385540492e-06,1.304685339986733e-06,0.00201531640467556
single__home_entering_wins,2023,aggregate_existing_predictions,False,2408,ok,0.537644900674995,0.1817041213260011,0.7230066445182725,0.00014015385235277567,5.7419400741082205e-05,0.002491694352159457
single__home_entering_wins,2024,aggregate_existing_predictions,False,2365,ok,0.5337675189575553,0.17965354220028898,0.7268498942917547,0.00016211582115177592,6.766007279448982e-05,0.0008456659619450191
single__home_entering_wins,2025,aggregate_existing_predictions,False,2331,ok,0.5420972784333629,0.18310898962408725,0.7164307164307164,0.0001579405839529091,6.589339051257803e-05,0.0021450021450021284
single__home_entering_losses,2022,aggregate_existing_predictions,False,2481,ok,0.5161219933502055,0.17332826736693582,0.7311567916162838,-5.821661610105888e-05,-1.3670017224631792e-05,0.0016122531237404703
single__home_entering_losses,2023,aggregate_existing_predictions,False,2408,ok,0.5375150332611618,0.18165402839230413,0.7209302325581395,1.0286438519524488e-05,7.3264670440997826e-06,0.00041528239202648365
single__home_entering_losses,2024,aggregate_existing_predictions,False,2365,ok,0.5333735254972486,0.17950044808642876,0.7255813953488373,-0.00023187763915488713,-8.54340410657295e-05,-0.00042283298097245403
single__home_entering_losses,2025,aggregate_existing_predictions,False,2331,ok,0.541895523618685,0.18302888625383631,0.7151437151437151,-4.381423072497004e-05,-1.4209979738361023e-05,0.0008580008580008069
single__away_entering_wins,2022,aggregate_existing_predictions,False,2481,ok,0.5161920426148531,0.17335453913057675,0.7303506650544136,1.1832648546539204e-05,1.260174641629086e-05,0.0008061265618702906
single__away_entering_wins,2023,aggregate_existing_predictions,False,2408,ok,0.5374964889142896,0.18164423227948345,0.7200996677740864,-8.257908352682364e-06,-2.469645776576046e-06,-0.00041528239202659467
single__away_entering_wins,2024,aggregate_existing_predictions,False,2365,ok,0.5336004197734324,0.17959055210049296,0.7247357293868921,-4.98336297105606e-06,4.6699729984722715e-06,-0.0012684989429175841
single__away_entering_wins,2025,aggregate_existing_predictions,False,2331,ok,0.5419570752074547,0.18305742268462605,0.7138567138567139,1.7737358044778162e-05,1.4326451051371869e-05,-0.00042900042900040347
single__away_entering_losses,2022,aggregate_existing_predictions,False,2481,ok,0.5162114810117775,0.17335559885581545,0.7307537283353487,3.127104547095971e-05,1.3661471654990986e-05,0.0012091898428053804
single__away_entering_losses,2023,aggregate_existing_predictions,False,2408,ok,0.5376300302166451,0.18169558925114548,0.7213455149501661,0.00012528339400286193,4.888732588545497e-05,0.0008305647840530783
single__away_entering_losses,2024,aggregate_existing_predictions,False,2365,ok,0.533663842537478,0.17960647849556313,0.7255813953488373,5.843940107452816e-05,2.0596368068642734e-05,-0.00042283298097245403
single__away_entering_losses,2025,aggregate_existing_predictions,False,2331,ok,0.5420504404743273,0.18308616320061794,0.7151437151437151,0.00011110262491731415,4.3066967043259297e-05,0.0008580008580008069
single__home_previous_result,2022,aggregate_existing_predictions,False,2481,ok,0.5161221032271373,0.17332013511822308,0.7299476017734784,-5.810673916928355e-05,-2.180226593737067e-05,0.0004030632809350898
single__home_previous_result,2023,aggregate_existing_predictions,False,2408,ok,0.5374885880941522,0.18163953553286014,0.720514950166113,-1.6158728490034413e-05,-7.166392399893251e-06,0.0
single__home_previous_result,2024,aggregate_existing_predictions,False,2365,ok,0.5335485848166631,0.17956099352846216,0.7264270613107823,-5.6818319740359335e-05,-2.4888599032324432e-05,0.00042283298097256505
single__home_previous_result,2025,aggregate_existing_predictions,False,2331,ok,0.5419355142941445,0.18304154312792342,0.7147147147147147,-3.823555265403122e-06,-1.553105651252995e-06,0.00042900042900040347
single__away_previous_result,2022,aggregate_existing_predictions,False,2481,ok,0.5161937934256735,0.17334526878888304,0.7311567916162838,1.3583459366972583e-05,3.331404722584086e-06,0.0016122531237404703
single__away_previous_result,2023,aggregate_existing_predictions,False,2408,ok,0.5375427760219796,0.18165798586336154,0.7209302325581395,3.802919933737492e-05,1.1283938101513957e-05,0.00041528239202648365
single__away_previous_result,2024,aggregate_existing_predictions,False,2365,ok,0.533640592676283,0.17959417786371665,0.7260042283298097,3.5189539879576515e-05,8.295736222158068e-06,0.0
single__away_previous_result,2025,aggregate_existing_predictions,False,2331,ok,0.5419943121026479,0.18305892639663643,0.716001716001716,5.497425323797156e-05,1.5830163061753e-05,0.001716001716001725
single__home_sos,2022,aggregate_existing_predictions,False,2481,ok,0.5159522966241002,0.17326811013338733,0.7315598548972189,-0.00022791334220628734,-7.382725077312302e-05,0.00201531640467556
single__home_sos,2023,aggregate_existing_predictions,False,2408,ok,0.5373831513958107,0.18158144022883588,0.7230066445182725,-0.00012159542683154445,-6.526169642415147e-05,0.002491694352159457
single__home_sos,2024,aggregate_existing_predictions,False,2365,ok,0.5332930124271954,0.17942727568669997,0.7268498942917547,-0.0003123907092080769,-0.00015860644079451758,0.0008456659619450191
single__home_sos,2025,aggregate_existing_predictions,False,2331,ok,0.5417100183107353,0.1829375072097689,0.7164307164307164,-0.00022931953867466603,-0.00010558902380577995,0.0021450021450021284
single__away_sos,2022,aggregate_existing_predictions,False,2481,ok,0.516237514428311,0.17336638457305484,0.7307537283353487,5.730446200447048e-05,2.4447188894383132e-05,0.0012091898428053804
single__away_sos,2023,aggregate_existing_predictions,False,2408,ok,0.5375452767935613,0.18165908208264966,0.7209302325581395,4.052997091907873e-05,1.2380157389635382e-05,0.00041528239202648365
single__away_sos,2024,aggregate_existing_predictions,False,2365,ok,0.5336048768219329,0.17958429023440928,0.7251585623678647,-5.263144705613954e-07,-1.591893085212126e-06,-0.0008456659619450191
single__away_sos,2025,aggregate_existing_predictions,False,2331,ok,0.5419779427320969,0.18305752248765386,0.7147147147147147,3.8604882686921194e-05,1.4426254079186185e-05,0.00042900042900040347
single__home_days_rest,2022,aggregate_existing_predictions,False,2481,ok,0.516308203174344,0.17339505639166966,0.7315598548972189,0.00012799320803746905,5.311900750920584e-05,0.00201531640467556
single__home_days_rest,2023,aggregate_existing_predictions,False,2408,ok,0.5374482149726236,0.18161618009322442,0.7213455149501661,-5.6531850018637364e-05,-3.052183203561265e-05,0.0008305647840530783
single__home_days_rest,2024,aggregate_existing_predictions,False,2365,ok,0.5336609910463711,0.17960357491908377,0.7268498942917547,5.558790996762486e-05,1.7692791589279944e-05,0.0008456659619450191
single__home_days_rest,2025,aggregate_existing_predictions,False,2331,ok,0.54200663361528,0.18306483183117067,0.7155727155727156,6.729576587005681e-05,2.1735597595995415e-05,0.0012870012870013214
single__away_days_rest,2022,aggregate_existing_predictions,False,2481,ok,0.5163046505210004,0.17339114903054867,0.7307537283353487,0.00012444055469384985,4.921164638821418e-05,0.0012091898428053804
single__away_days_rest,2023,aggregate_existing_predictions,False,2408,ok,0.537500957275969,0.18163406525154585,0.7209302325581395,-3.7895466732384975e-06,-1.2636673714178093e-05,0.00041528239202648365
single__away_days_rest,2024,aggregate_existing_predictions,False,2365,ok,0.5336247375081664,0.17959188310813975,0.7268498942917547,1.933437176293573e-05,6.000980645265441e-06,0.0008456659619450191
single__away_days_rest,2025,aggregate_existing_predictions,False,2331,ok,0.5419722875445645,0.18305038265098836,0.7142857142857143,3.2949695154549374e-05,7.286417413682189e-06,0.0
