variant,slice,metric,contrast_id,delta,mean_delta,ci_low,ci_high,p_value,n_boot,seed,n_clusters,n_rows
single__line_provider_count,overall,brier,single__line_provider_count|overall|brier,-1.2632273639096026e-05,-1.2358015497333452e-05,-7.913140177742695e-05,5.1343889063439046e-05,0.7524950099800399,500,20260904,66,3195
family__site_temporal,overall,log_loss,family__site_temporal|overall|log_loss,0.00012948301319615219,0.0001354854410430344,-0.00021109166165262093,0.00046507942789833777,0.4351297405189621,500,20260904,66,3195
family__site_temporal,overall,brier,family__site_temporal|overall|brier,5.842114022258649e-05,6.063187045163249e-05,-7.631917817454356e-05,0.0002104900596219218,0.4231536926147705,500,20260904,66,3195
family__history,overall,log_loss,family__history|overall|log_loss,5.0541884528243486e-05,5.854573392425899e-05,-0.0005082473831531292,0.0006515215100768579,0.8842315369261478,500,20260904,66,3195
family__history,overall,brier,family__history|overall|brier,4.576950123902357e-07,-1.0691298738838561e-06,-0.00028811678806945696,0.0002570824018118873,0.9940119760479041,500,20260904,66,3195
family__market_context,overall,log_loss,family__market_context|overall|log_loss,-6.729678181693899e-05,-6.63684006315446e-05,-0.00033551201939826804,0.00022588622493270832,0.6087824351297405,500,20260904,66,3195
family__market_context,overall,brier,family__market_context|overall|brier,-1.8602232708359034e-05,-2.371995616228939e-05,-0.00012698970281629918,7.697880129978115e-05,0.7325349301397206,500,20260904,66,3195
combined,overall,log_loss,combined|overall|log_loss,9.102549721362596e-05,0.00010172628806708173,-0.0007641646122473394,0.000873786076776786,0.8143712574850299,500,20260904,66,3195
combined,overall,brier,combined|overall|brier,3.145197729370608e-05,2.9505079581915615e-05,-0.0003635338105388311,0.0003556289710371147,0.8522954091816367,500,20260904,66,3195
lof__without_site_temporal,overall,log_loss,lof__without_site_temporal|overall|log_loss,-1.538576709547712e-05,-9.88725356953979e-06,-0.0007464807598188377,0.0006889425674687058,0.9680638722554891,500,20260904,66,3195
lof__without_site_temporal,overall,brier,lof__without_site_temporal|overall|brier,-1.8325660649798348e-05,-3.0095475717597797e-05,-0.0003500237985926149,0.000288903819269234,0.9001996007984032,500,20260904,66,3195
lof__without_history,overall,log_loss,lof__without_history|overall|log_loss,6.5954399660062e-05,6.896261175290252e-05,-0.00037065775562854784,0.0004635781969382329,0.7624750499001997,500,20260904,66,3195
lof__without_history,overall,brier,lof__without_history|overall|brier,4.145041338554645e-05,4.199036062866757e-05,-0.00017178476313354786,0.00022403754416498234,0.6926147704590818,500,20260904,66,3195
lof__without_market_context,overall,log_loss,lof__without_market_context|overall|log_loss,0.0001515444614526018,0.00012971847674061765,-0.0005104450554622219,0.0008276470158010501,0.6906187624750499,500,20260904,66,3195
lof__without_market_context,overall,brier,lof__without_market_context|overall|brier,4.788617097259418e-05,3.565955951562294e-05,-0.0002540282492235604,0.0003379879072926117,0.7524950099800399,500,20260904,66,3195
